Time,601_volt,620_volt,623_volt,634_volt,640_volt,647_volt,670_volt,671_volt,673_volt,674_volt,686_volt
08:12.0,-0.021004,-0.085999,-0.021996,0,0,-0.021004,0.020996,0,-0.042999,NaN,-0.151
08:12.1,0,-0.151,-0.021996,0,-0.6,-0.021004,0.042999,0,-0.042999,NaN,-0.108
08:12.2,0,-0.151,-0.021996,0,0,-0.021004,0.042999,0.021996,-0.022003,NaN,-0.108
08:12.3,0.021996,-0.064995,-0.043999,0,0,0.022003,0.020996,0,-0.022003,NaN,-0.108
08:12.4,0.086998,-0.020996,-0.021996,0,0,0.022003,0.020996,0.021996,0,NaN,-0.108
08:12.5,0,0.042999,0,0,0,0.042999,0.042999,0.021996,0,-0.065002,-0.108
08:12.6,-0.043007,0.108,-0.021996,0,0,0.022003,0.065002,0.042999,-0.022003,-0.085999,-0.13
08:12.7,-0.043007,0.108,-0.021996,0,-0.6,0.042999,0.085999,0.064995,-0.022003,-0.108,-0.151
08:12.8,-0.021004,0.042999,-0.021996,0,-0.6,0.042999,0.085999,0.064995,-0.042999,-0.085999,-0.151
08:12.9,0,0.042999,-0.021996,0,-0.6,0.022003,0.065002,0.064995,-0.022003,-0.065002,-0.151
08:13.0,0,0.042999,-0.021996,0,0,0,0.065002,0.064995,0,-0.085999,-0.151
08:13.1,-0.021004,0.087006,-0.021996,0,0,0.022003,0.042999,0.086998,0,-0.108,-0.173
08:13.2,-0.021004,0.022003,-0.043999,0,0,0.022003,0.042999,0.086998,-0.022003,-0.108,-0.173
08:13.3,0.043999,0.022003,-0.021996,0,0,0.042999,0.042999,0.064995,-0.022003,-0.108,-0.173
08:13.4,0.043999,0.042999,-0.021996,-0.00099945,0,0.042999,0.020996,0.064995,-0.042999,-0.022003,-0.151
08:13.5,0.021996,0.042999,-0.043999,-0.00099945,0,0.042999,0.020996,0.064995,-0.042999,-0.065002,-0.13
08:13.6,0,0.042999,-0.021996,-0.00099945,0,0.042999,0.020996,0.064995,-0.022003,-0.065002,-0.151
08:13.7,-0.021004,0.108,-0.021996,-0.00099945,0,0.065002,0.020996,0.064995,0,-0.065002,-0.151
08:13.8,-0.28101,0.108,-0.021996,-0.00099945,0,0.065002,0.020996,0.086998,0,-0.065002,-0.151
