TimeStamp,FDR620,FDR623,FDR634,FDR640,FDR673,FDR726,FDR734,FDR767,FDR778,FDR781,FDR787,FDR792,FDR826,FDR859,FDR877,FDR881,FDR892,FDR899,FDR941,FDR953,FDR960,FDR963,FDR980,FDR1058,FDR1059,FDR1066,FDR1069,FDR1126,FDR1145,FDR1355,FDR1359,FDR3001,FDR1364,FDR1370,FDR1398,FDR1399,FDR1401,FDR1405,FDR1406,FDR1413,FDR1416,FDR1417,FDR1418,FDR1430,FDR1431,FDR1456,FDR1497,FDR1617,FDR1491,FDR1615,FDR1484,FDR1465,FDR1622,FDR1642,FDR1651,FDR1661,FDR1667,FDR1638,FDR1664,FDR1616,FDR1707,FDR1609,FDR1698,FDR1679,FDR1681,FDR3100,FDR1680,FDR1697,FDR3102,FDR3105,FDR998
2024/10/21 3:59:49.0,3.0035,3.0035,2.3286,3.0678,3.0035,3.0065,2.8968,3.0814,2.9909,3.008,60.0263,60.0205,60.0256,60.0249,60.0265,60.0269,60.0247,60.0249,60.0287,60.0261,60.0253,60.0275,60.0289,60.0277,60.0288,60.0262,60.0259,60.0256,60.0261,60.0253,60.0257,60.0309,60.0253,60.0256,60.0272,60.028,60.0263,60.02818438,60.0256,60.0252,60.0266,60.0268,60.0251,60.0266,60.0258,60.0253,60.0264,60.029,60.0262,60.0253,60.0303,60.0276,60.0273,60.0278,60.0265,60.0247,60.0255,60.0259,60.026,60.0259,60.0266,60.0262,60.0258,60.0258,60.0262,60.0244,60.0266,60.0272,60.0273,60.0257,60.0255
2024/10/21 3:59:49.1,3.0001,3.0001,2.9762,3.0397,2.9998,2.9962,2.8536,3.1375,2.9958,3.0026,60.0261,60.0275,60.0256,60.0252,60.0286,60.0247,60.0262,60.0253,60.0277,60.0256,60.0249,60.028,60.0288,60.0273,60.0271,60.0269,60.0267,60.0257,60.0239,60.0255,60.0258,60.031,60.0248,60.0286,60.0272,60.028,60.026,60.02806875,60.0258,60.0256,60.0271,60.0259,60.0254,60.0269,60.0267,60.027,60.0264,60.0271,60.0262,60.0268,60.0292,60.0284,60.0273,60.0279,60.0272,60.025,60.0256,60.0271,60.0261,60.0257,60.0269,60.0273,60.0262,60.0261,60.0256,60.0231,60.0273,60.0287,60.0287,60.0269,60.0277
2024/10/21 3:59:49.2,2.9968,2.9968,3.3467,3.14,2.9974,2.9924,2.7277,2.9582,3.003,2.9892,60.028,60.0264,60.0261,60.0257,60.0294,60.0255,60.0265,60.0257,60.0281,60.0258,60.0259,60.0281,60.029,60.0279,60.0264,60.0255,60.0274,60.026,60.026,60.0257,60.0257,60.0319,60.0258,60.0309,60.0236,60.0279,60.0261,60.02795313,60.0263,60.026,60.0273,60.0263,60.0259,60.0268,60.0262,60.0281,60.0267,60.0296,60.0255,60.0269,60.0285,60.0282,60.0277,60.0285,60.0261,60.0258,60.0261,60.0263,60.025,60.0256,60.0267,60.0263,60.0254,60.0253,60.0257,60.0263,60.0269,60.0274,60.027,60.0273,60.0264
2024/10/21 3:59:49.3,2.9933,2.9933,3.2914,3.0686,2.9937,2.9933,2.895,2.8813,3.0174,3.0071,60.0281,60.0222,60.0269,60.0252,60.0285,60.026,60.0255,60.0266,60.0279,60.0263,60.0262,60.0284,60.0275,60.0278,60.0269,60.0262,60.0281,60.0262,60.0249,60.0259,60.0264,60.0304,60.0255,60.0242,60.0272,60.0279,60.0259,60.0278375,60.0264,60.0254,60.0266,60.0265,60.0264,60.0264,60.0261,60.0266,60.0268,60.029,60.0267,60.026,60.0298,60.028,60.0271,60.0286,60.0257,60.0259,60.0256,60.0259,60.027,60.0259,60.0261,60.0281,60.026,60.0252,60.0256,60.0242,60.0262,60.0277,60.0278,60.0278,60.026
2024/10/21 3:59:49.4,2.9899,2.9899,1.6496,2.9944,2.9901,2.9865,2.7785,2.9626,2.9885,2.9871,60.026,60.0357,60.026,60.0265,60.0282,60.0253,60.0272,60.0253,60.0278,60.0268,60.0262,60.0273,60.027,60.0285,60.0257,60.027,60.028,60.0263,60.0258,60.0261,60.0255,60.03,60.0266,60.0283,60.0392,60.028,60.0263,60.02772188,60.0259,60.0261,60.0273,60.0273,60.0267,60.0276,60.0256,60.0256,60.0269,60.0266,60.0251,60.0273,60.0308,60.0278,60.0277,60.0288,60.0262,60.026,60.0259,60.0261,60.0241,60.0251,60.0271,60.0272,60.026,60.026,60.0258,60.0222,60.0262,60.0273,60.0276,60.0277,60.0264
2024/10/21 3:59:49.5,2.9863,2.9863,3.3945,2.8308,2.9868,2.9856,2.9892,2.9076,3.0062,2.9924,60.0276,60.019,60.0267,60.026,60.028,60.0263,60.0259,60.0261,60.0268,60.0264,60.0257,60.0273,60.0266,60.0274,60.0267,60.0266,60.0284,60.025,60.0253,60.0263,60.0262,60.0288,60.0266,60.0281,60.0186,60.0277,60.0259,60.02760625,60.0257,60.0265,60.0272,60.0272,60.0263,60.0272,60.027,60.0264,60.0272,60.0282,60.0271,60.0263,60.0295,60.0281,60.0272,60.0285,60.0249,60.026,60.0255,60.0275,60.0299,60.0253,60.027,60.0259,60.0266,60.0263,60.0252,60.0353,60.0267,60.0273,60.0283,60.0286,60.0259
2024/10/21 3:59:49.6,2.9831,2.9831,3.6476,2.9691,2.9846,2.9812,3.3767,2.9022,2.977,2.9753,60.029,60.0303,60.0262,60.0269,60.0266,60.0253,60.0267,60.0266,60.0286,60.0278,60.0258,60.0267,60.0271,60.0278,60.0265,60.026,60.0279,60.026,60.0273,60.0265,60.0268,60.0287,60.0263,60.0281,60.0347,60.0278,60.0256,60.02749063,60.0268,60.0261,60.0269,60.0273,60.0261,60.0273,60.0266,60.0265,60.0271,60.0267,60.0272,60.0274,60.0277,60.0276,60.027,60.029,60.0262,60.027,60.0253,60.0267,60.0273,60.025,60.0271,60.0275,60.0266,60.0261,60.0258,60.0277,60.0266,60.027,60.027,60.0273,60.0268
2024/10/21 3:59:49.7,2.9795,2.9795,2.3914,2.915,2.9793,2.9806,2.9217,2.9533,3.0066,2.9898,60.0269,60.0335,60.0265,60.0261,60.0268,60.0247,60.0269,60.0275,60.0281,60.0264,60.0255,60.0258,60.0263,60.0277,60.0263,60.0269,60.0273,60.0257,60.0261,60.0267,60.0259,60.029,60.0268,60.0286,60.0253,60.0272,60.0262,60.027375,60.0267,60.0265,60.0276,60.0278,60.0269,60.0276,60.0264,60.0255,60.0273,60.0267,60.0275,60.0278,60.0282,60.0273,60.028,60.028,60.0264,60.027,60.0257,60.0263,60.0279,60.026,60.0269,60.0267,60.0264,60.0261,60.0264,60.0213,60.0262,60.028,60.0276,60.0268,60.0262
2024/10/21 3:59:49.8,2.9762,2.9762,3.8105,3.1618,2.9782,2.9751,3.2259,2.8662,2.9667,2.974,60.0284,60.0349,60.0269,60.026,60.0269,60.0267,60.0255,60.0266,60.0275,60.0274,60.0256,60.0261,60.0278,60.0282,60.0258,60.0267,60.0268,60.0257,60.0281,60.0269,60.0266,60.0269,60.0267,60.0279,60.0257,60.0275,60.0262,60.02725938,60.026,60.0267,60.0277,60.0271,60.0242,60.0276,60.0266,60.0261,60.0272,60.0265,60.0261,60.0246,60.0281,60.0272,60.0273,60.0277,60.026,60.0268,60.026,60.0263,60.0298,60.0253,60.0271,60.0251,60.027,60.0267,60.0254,60.0318,60.0262,60.0276,60.0276,60.0274,60.0267
2024/10/21 3:59:49.9,2.9725,2.9725,2.5694,2.975,2.9739,2.9728,3.1049,2.9068,2.9478,2.9684,60.0294,60.0335,60.0267,60.0257,60.027,60.0252,60.0264,60.0267,60.0274,60.0263,60.0254,60.0259,60.0266,60.0275,60.0269,60.0277,60.0266,60.026,60.0278,60.0271,60.0269,60.0257,60.0272,60.0264,60.0293,60.0267,60.0273,60.02714375,60.0257,60.0274,60.0271,60.0273,60.0277,60.0274,60.0264,60.0279,60.0276,60.0279,60.0273,60.028,60.0259,60.0258,60.0284,60.0269,60.027,60.0271,60.0259,60.0275,60.0246,60.0263,60.0272,60.029,60.0276,60.0275,60.0258,60.0333,60.0267,60.0272,60.0285,60.0268,60.0275
