TimeStamp,FDR620,FDR623,FDR634,FDR640,FDR673,FDR726,FDR734,FDR767,FDR778,FDR781,FDR787,FDR792,FDR826,FDR859,FDR877,FDR881,FDR892,FDR899,FDR941,FDR953,FDR960,FDR963,FDR980,FDR1058,FDR1059,FDR1066,FDR1069,FDR1126,FDR1145,FDR1355,FDR1359,FDR3001,FDR1364,FDR1370,FDR1398,FDR1399,FDR1401,FDR1405,FDR1406,FDR1413,FDR1416,FDR1417,FDR1418,FDR1430,FDR1431,FDR1456,FDR1497,FDR1617,FDR1491,FDR1615,FDR1484,FDR1465,FDR1622,FDR1642,FDR1651,FDR1661,FDR1667,FDR1638,FDR1664,FDR1616,FDR1707,FDR1609,FDR1698,FDR1679,FDR1681,FDR3100,FDR1680,FDR1697,FDR3102,FDR3105,FDR998
00:23.9,1.5703,-1.6887,-1.869,-1.5392,-1.6563,-1.6908,1.6168,1.6092,1.5081,1.5678,59.9745,59.9702,59.9744,59.9737,59.9745,59.9744,59.9738,59.9748,59.9742,59.9759,59.9737,59.9759,59.9753,59.9746,59.9743,59.9748,59.9754,59.9738,59.9708,59.975,59.9742,59.977,59.973,59.9721,59.9752,59.9737,59.975,59.9743,59.974,59.9761,59.9754,59.9743,59.9748,59.9758,59.9755,59.974,59.9744,59.9735,59.9744,59.9743,59.9733,59.9753,59.9749,59.9748,59.9745,59.9747,59.9733,59.9757,59.9767,59.9728,59.9752,59.9741,59.9753,59.9754,59.9731,59.9844,59.9761,59.9748,59.9751,59.9754,59.9756
00:24.0,1.5661,-1.6841,-1.6277,-1.5552,-1.6726,-1.6757,1.5947,1.5103,1.5769,1.5618,59.975,59.9697,59.9738,59.9734,59.9745,59.9754,59.9736,59.9734,59.9746,59.9743,59.9733,59.975,59.9745,59.9746,59.9745,59.9751,59.9748,59.9736,59.974,59.9731,59.9742,59.9761,59.9739,59.9711,59.9704,59.9748,59.9751,59.9726,59.9735,59.9748,59.9745,59.9743,59.9734,59.9747,59.9738,59.9746,59.9748,59.9739,59.9735,59.9734,59.9753,59.9749,59.975,59.9748,59.9752,59.9747,59.973,59.9747,59.9739,59.9733,59.9753,59.9747,59.9753,59.9757,59.9733,59.9786,59.974,59.9751,59.9748,59.9764,59.9748
00:24.1,1.562,-1.6797,-1.8095,-1.6005,-1.6485,-1.6688,1.4409,1.5049,1.5848,1.561,59.9742,59.9708,59.9749,59.9739,59.9757,59.9744,59.9727,59.9752,59.9742,59.9743,59.9734,59.9752,59.9729,59.9773,59.9745,59.976,59.9748,59.9735,59.9734,59.9736,59.9735,59.9762,59.9731,59.9795,59.9747,59.9759,59.975,59.976,59.9737,59.9752,59.9746,59.9752,59.9751,59.9741,59.9743,59.9737,59.9745,59.9752,59.9741,59.9748,59.9758,59.976,59.974,59.9759,59.9749,59.9752,59.9734,59.974,59.9748,59.9734,59.9746,59.9749,59.9748,59.9743,59.9737,59.9717,59.9741,59.9751,59.9753,59.9752,59.975
00:24.2,1.5578,-1.6751,-1.5808,-1.5896,-1.6619,-1.6739,1.5656,1.6946,1.5893,1.5629,59.9743,59.9829,59.9739,59.9732,59.9765,59.9726,59.9738,59.9759,59.9755,59.9754,59.9731,59.9746,59.974,59.9753,59.9747,59.9742,59.9747,59.973,59.9753,59.9746,59.9738,59.9771,59.9736,59.9765,59.974,59.9762,59.9744,59.974,59.9737,59.9744,59.9738,59.974,59.9748,59.974,59.9735,59.9719,59.9742,59.9742,59.9736,59.9752,59.9753,59.9751,59.9763,59.9759,59.9747,59.9743,59.9727,59.9737,59.9738,59.9733,59.9743,59.9761,59.9751,59.9741,59.9727,59.9731,59.9737,59.975,59.9749,59.9745,59.9743
00:24.3,1.5537,-1.6706,-1.5562,-1.7339,-1.6773,-1.6676,1.4679,1.6354,1.5547,1.5596,59.9751,59.9692,59.9742,59.9725,59.9761,59.9727,59.9739,59.9754,59.9752,59.9741,59.9727,59.9744,59.9723,59.9764,59.9745,59.9745,59.9743,59.9731,59.9741,59.9756,59.9737,59.9738,59.9736,59.9748,59.9734,59.9759,59.9747,59.9735,59.9732,59.9753,59.974,59.9749,59.9742,59.9738,59.9736,59.9746,59.9741,59.9758,59.9747,59.9745,59.9752,59.9749,59.9745,59.9774,59.9748,59.9748,59.9729,59.9741,59.9744,59.9737,59.974,59.9735,59.975,59.9744,59.9737,59.9708,59.974,59.9754,59.975,59.9745,59.9746
00:24.4,1.5497,-1.6662,-1.8019,-1.649,-1.6796,-1.6748,1.203,1.6177,1.5631,1.5519,59.9739,59.9673,59.974,59.9731,59.9758,59.9719,59.9749,59.9754,59.9748,59.9741,59.973,59.9745,59.9741,59.9758,59.975,59.9731,59.974,59.9735,59.9732,59.9752,59.9736,59.9771,59.9734,59.9722,59.9733,59.9763,59.9743,59.9752,59.9738,59.975,59.9742,59.9742,59.9739,59.9746,59.9746,59.9744,59.973,59.9737,59.9745,59.9724,59.9763,59.9757,59.9752,59.9765,59.9732,59.9749,59.9729,59.9737,59.9757,59.9734,59.9736,59.9727,59.9744,59.9743,59.9736,59.9692,59.9741,59.975,59.9741,59.973,59.9725
00:24.5,1.5455,-1.6616,-2.1845,-1.6631,-1.6478,-1.6594,2.0459,1.5924,1.5192,1.5362,59.9747,59.9725,59.9745,59.9735,59.9756,59.9755,59.9728,59.9768,59.9748,59.9735,59.9735,59.9744,59.9729,59.9757,59.9741,59.9737,59.9739,59.9733,59.975,59.974,59.974,59.9722,59.9726,59.9752,59.9743,59.9753,59.9738,59.9749,59.9741,59.9752,59.9745,59.9737,59.9747,59.9746,59.9738,59.974,59.9741,59.9745,59.9747,59.9752,59.9771,59.9754,59.9738,59.9762,59.9739,59.9751,59.9733,59.9743,59.9717,59.974,59.9739,59.9748,59.9752,59.9739,59.9737,59.9756,59.9736,59.9739,59.9749,59.9742,59.9731
00:24.6,1.5416,-1.6569,-1.7991,-1.5673,-1.6396,-1.6774,1.5095,1.5708,1.5292,1.5389,59.9748,59.9744,59.9745,59.9728,59.9742,59.9718,59.9744,59.975,59.9747,59.9737,59.9732,59.9739,59.9745,59.9763,59.9731,59.9735,59.9734,59.9738,59.9765,59.9737,59.9737,59.973,59.9739,59.9775,59.9744,59.9754,59.9733,59.9732,59.9735,59.9741,59.9742,59.9738,59.9743,59.9742,59.9737,59.9737,59.9739,59.9751,59.9743,59.9719,59.9745,59.9746,59.9753,59.9755,59.973,59.9749,59.9741,59.9732,59.9754,59.9738,59.9741,59.974,59.9754,59.9736,59.9744,59.9799,59.9739,59.9749,59.9749,59.9733,59.9742
00:24.7,1.5373,-1.6523,-2.0872,-1.6795,-1.632,-1.6515,1.5505,1.6519,1.5131,1.5364,59.9753,59.9785,59.9734,59.9739,59.9746,59.9738,59.9732,59.9754,59.975,59.9741,59.9736,59.9733,59.9746,59.9746,59.9743,59.9733,59.9733,59.974,59.9745,59.9748,59.9736,59.97,59.9743,59.9699,59.9713,59.9743,59.973,59.975,59.9745,59.9745,59.974,59.9738,59.974,59.9744,59.9737,59.9733,59.9736,59.9729,59.9747,59.9713,59.9732,59.9746,59.9738,59.9748,59.973,59.9744,59.9736,59.9735,59.974,59.9748,59.9739,59.9725,59.9741,59.9753,59.9753,59.9788,59.9736,59.9744,59.9743,59.9747,59.9731
00:24.8,1.5332,-1.6477,-1.8281,-1.5945,-1.6793,-1.6377,1.6894,1.409,1.5667,1.5382,59.9746,59.9805,59.974,59.974,59.9744,59.974,59.9744,59.975,59.9753,59.9744,59.9739,59.9731,59.9759,59.9743,59.9736,59.9733,59.9742,59.9744,59.9745,59.9741,59.9734,59.9697,59.9741,59.9762,59.9831,59.9746,59.9732,59.9745,59.9738,59.9739,59.9737,59.9737,59.9739,59.9743,59.9739,59.975,59.9745,59.9753,59.9737,59.9753,59.9752,59.9741,59.9739,59.9741,59.9735,59.9744,59.9743,59.9733,59.9759,59.974,59.9745,59.9744,59.973,59.9736,59.9739,59.971,59.9738,59.9742,59.9743,59.9737,59.973
